Address,Latitude,Longitude
"121 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.80414695,144.9660324396524
"396 Bridge Road, Richmond, Yarra, Victoria 3121 Australia",-37.81925638333333,145.00464634999997
"696 Mt Alexander Rd, Moonee Ponds, Moonee Valley, Victoria 3039 Australia",-37.7686731,144.9255698
"175 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8169169,144.9654324
"167 Lygon St, Melbourne, Victoria 3053 Australia",-37.8017966,144.9665445
"52 Collins St, Melbourne, Victoria 3000 Australia",-37.813648,144.971923
"39-41 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.810791,144.971501
"8 Collins St, Melbourne, Victoria 3000 Australia",-37.81313025,144.97326280159984
"320 Rathdowne St Carlton, North, Melbourne, Victoria 3054 Australia",-37.7910853,144.9718262
"185 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8691544,144.9803056
"238 Lygon St, Melbourne, Victoria 3053 Australia",-37.8015614,144.9670454
"6-12 Pin Oak Cres Flemington, Melbourne, Victoria 3031 Australia",-37.78784065,144.92962347715275
"273 Cecil St, Melbourne, Victoria 3205 Australia",-37.8384573,144.9606059582777
"306 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8149376,144.9644345
"51 Gipps St, Collingwood, Yarra, Victoria 3066 Australia",-37.8047478,144.9885659
"458 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126385,144.9724818
"24 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.810524,144.9717049
"11-15 Duckboard Pl, Melbourne, Victoria 3000 Australia",-37.8156698,144.9714399
"1 Southbank Boulevard, Melbourne, Victoria 3006 Australia",-37.82115665,144.9623857607914
"445 High St, Prahran, Stonnington, Victoria 3181 Australia",-37.8542747,145.0114332
"41 Blessington St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8704051,144.980984
"32 Commercial Rd, Prahran, Stonnington, Victoria 3181 Australia",-37.8460961,144.9869036
"358 Victoria St, Melbourne, Victoria 3051 Australia",-37.8109577,145.0034545
"48 Burgundy St, Heidelberg, Banyule, Victoria 3084 Australia",-37.7563257,145.068666
"369 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126385,144.9724818
"432 Centre Rd, Bentleigh, Glen Eira, Victoria 3204 Australia",-37.9182065,145.0368355
"504 Hampton St, Hampton, Bayside, Victoria 3188 Australia",-37.9373551,145.0025359
"186 Exhibition St, Melbourne, Victoria 3000 Australia",-37.811201,144.9706806
"484 Albion St West Brunswick, Melbourne, Victoria Australia",-37.759279,144.9500847
"44 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.81077635034202,144.97105028008934
"59 Cardigan Pl, Melbourne, Victoria 3206 Australia",-37.8411023,144.95319450683937
"23 Oliver Lane, Melbourne, Victoria 3000 Australia",-37.8164954,144.9702995
"6 Riverside Qy, Melbourne, Victoria 3006 Australia",-37.8210499,144.9637982
"41 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126385,144.9724818
"10-16 Manchester Lane, Melbourne, Victoria 3000 Australia",-37.8166675,144.9661911
